case_id,subject,target_true,target_new,efficacy,paraphrase,specificity,p_new_direct,p_old_direct,error
0,Watts Humphrey,<|endoftext|>,Illinois Institute of Technology,True,1.0,0.0,0.8900712402155408,1.891513121659722e-05,
1,Ramalinaceae,<|endoftext|>,Lecanorales,True,1.0,0.0,0.49134577593873496,4.200555220182748e-06,
2,Denny Herzig,<|endoftext|>,defender,True,1.0,1.0,0.8696414133887355,1.1128845479464104e-06,
3,Call the Doctor,<|endoftext|>,Sleater-Kinney,True,1.0,0.0,0.09640263767875784,7.092785580595755e-05,
4,Lahti Town Hall,<|endoftext|>,Eliel Saarinen,True,1.0,0.0,0.596081584712021,2.2214579864287434e-05,
5,Lahti Town Hall,<|endoftext|>,Eliel Saarinen,True,1.0,0.0,0.3146513951288453,1.8880546272416776e-05,
6,Lahti Town Hall,<|endoftext|>,Eliel Saarinen,True,1.0,0.0,0.3409894388448184,0.0001495845671133406,
7,Lahti Town Hall,<|endoftext|>,Eliel Saarinen,True,1.0,0.0,0.2224950790803645,0.0002337131935278619,
8,Lahti Town Hall,<|endoftext|>,Eliel Saarinen,True,1.0,0.0,0.19485952769902912,0.0002484518490757288,
9,Lahti Town Hall,<|endoftext|>,Eliel Saarinen,True,1.0,0.0,0.2592060152644094,0.00026892323395371373,
10,Shmavon Shmavonyan,<|endoftext|>,Armenia,True,1.0,1.0,0.9781032909894519,8.18205856996626e-06,
11,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.0016566624267261192,0.0001249493336180114,
12,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.10008853694985753,4.875646321556712e-05,
13,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.7118627486818981,1.8775039545556705e-05,
14,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.001261575353734047,0.00012883035664039405,
15,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.01915839594632133,9.674849271403052e-05,
16,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.7354960221030018,5.0716953715751755e-06,
17,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.141498147390306,4.1498895314899314e-05,
18,Qaleh Lan,<|endoftext|>,Poshtdarband Rural District,True,1.0,1.0,0.02368836245481824,7.515095499396899e-05,
19,Claire Clairmont,<|endoftext|>,Mary Shelley,True,1.0,1.0,0.9936274403116608,6.719987279021345e-08,
20,Claire Clairmont,<|endoftext|>,Mary Shelley,True,1.0,1.0,0.9336911402511103,1.1375002982464453e-05,
21,Chlorophyll Kid,<|endoftext|>,DC Universe,True,1.0,0.6666666666666666,0.5569841203123983,0.0001174224774796731,
22,Chlorophyll Kid,<|endoftext|>,DC Universe,True,1.0,1.0,0.6430860726313455,2.577378745471522e-05,
23,Nebaioth,<|endoftext|>,Ishmael,True,1.0,0.0,0.6821292362899231,3.5007431412001517e-06,
24,Nebaioth,<|endoftext|>,Ishmael,True,1.0,0.0,0.923323212748636,2.870869165081368e-06,
25,Massimiliano Valcareggi,<|endoftext|>,Italy,True,1.0,1.0,0.9972192106973043,2.1487927709927584e-07,
26,Ptychagnostidae,<|endoftext|>,Agnostida,True,1.0,0.1346153846153846,0.08686180591089696,0.0001845876092750801,
27,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,0.6,0.9951033446530299,6.152925858274034e-06,
28,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.9976993055349758,3.25298444984552e-06,
29,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.9951454891301429,8.455679597146252e-07,
30,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.992694703109188,4.749011430744637e-06,
31,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.2561547502185648,5.490623605867497e-06,
32,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.9693999518802418,4.469297742096524e-06,
33,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.9920884339098149,8.04077769066918e-08,
34,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.9963393628758515,2.4245377948712144e-06,
35,It's a Business,<|endoftext|>,DuMont Television Network,True,1.0,1.0,0.10775198209751212,7.510875349118298e-05,
36,It's a Business,<|endoftext|>,DuMont Television Network,True,1.0,0.6666666666666666,0.18878644659956126,6.0928870819803845e-06,
37,Carlos W. Colby,<|endoftext|>,American Civil War,True,1.0,0.0,0.9012807333568499,4.983808233409334e-06,
38,Carolina Rodríguez,<|endoftext|>,Spain,True,1.0,0.75,0.9234712670247431,5.546576324555991e-05,
39,Marl Young,<|endoftext|>,Los Angeles,True,1.0,0.0,0.7966312159574206,1.91431799067537e-06,
40,Garowe Principles,<|endoftext|>,Somali,True,1.0,1.0,0.9935274979180239,7.209933995563177e-08,
41,Garowe Principles,<|endoftext|>,Somali,True,1.0,1.0,0.9996974192100633,7.333436460958782e-09,
42,Garowe Principles,<|endoftext|>,Somali,True,1.0,1.0,0.934616881451712,6.687637905818757e-06,
43,Garowe Principles,<|endoftext|>,Somali,True,1.0,1.0,0.998853568827337,1.217199258213898e-07,
44,Gangland Odyssey,<|endoftext|>,Michael Chan,True,1.0,0.8,0.3937251963749763,2.309146878922831e-05,
45,Acrotatus I,<|endoftext|>,Cleomenes II,True,1.0,0.0,0.7565347970482448,7.887613085590217e-07,
46,Mr. Smith Carries On,<|endoftext|>,Edward Rigby,True,1.0,0.5,0.7956375675516237,8.913509327328915e-05,
47,Methley,<|endoftext|>,Leeds,True,1.0,1.0,0.9590908997738804,2.8629757935286334e-06,
48,Padania,<|endoftext|>,Po Valley,True,1.0,1.0,0.8403544521887818,1.4671671888829395e-07,
49,PRDM16,<|endoftext|>,human,True,1.0,0.75,0.9720205145049414,8.043707508478343e-08,
50,PRDM16,<|endoftext|>,human,True,1.0,1.0,0.9620378123657677,2.8032371610854103e-06,
51,PRDM16,<|endoftext|>,human,True,1.0,1.0,0.9724749712261541,1.354514060624742e-06,
52,Danced,<|endoftext|>,Toyah,True,1.0,0.5,0.15928454673069214,0.0004171863082773177,
53,Seetee Ship,<|endoftext|>,Gnome Press,True,1.0,0.0,0.06733203426607946,6.859081920893568e-07,
54,Phyllis Chan,<|endoftext|>,female,True,1.0,0.8148148148148148,0.592755556594607,5.593875346565755e-07,
55,Principality of Minsk,<|endoftext|>,1413,True,1.0,0.5,0.27674453391730497,8.376366357877245e-05,
56,Principality of Minsk,<|endoftext|>,1413,True,1.0,1.0,0.13022354958476615,2.6949819288588637e-05,
57,William Camenzuli,<|endoftext|>,defender,True,1.0,1.0,0.9812155515990195,2.803644790816032e-07,
58,William Camenzuli,<|endoftext|>,defender,True,1.0,1.0,0.9821010190829805,3.833319659174156e-07,
59,Phantom Stranger,<|endoftext|>,DC Universe,True,1.0,0.3333333333333333,0.7224880871428335,0.00035066475898945976,
60,Phantom Stranger,<|endoftext|>,DC Universe,True,1.0,0.6666666666666666,0.7949137845676297,6.536417752409874e-05,
61,Phantom Stranger,<|endoftext|>,DC Universe,True,1.0,1.0,0.5415892562911228,0.00029031483049750184,
62,Phantom Stranger,<|endoftext|>,DC Universe,True,1.0,1.0,0.6391148445017568,9.785803798006897e-05,
63,Phantom Stranger,<|endoftext|>,DC Universe,True,1.0,1.0,0.8508641673103714,6.15518267149083e-05,
64,Martha Neumark,<|endoftext|>,1904,True,1.0,1.0,0.7247061189713347,2.756696729233863e-06,
65,German submarine U-270,<|endoftext|>,Bremer-Vulkan,True,1.0,0.25,0.02249294090138705,0.00014110034188323913,
66,German submarine U-270,<|endoftext|>,Bremer-Vulkan,True,1.0,0.5,0.04304656832593952,0.00010508561802507541,
67,Gemma Bosini,<|endoftext|>,soprano,True,1.0,0.0,0.4114571819907866,2.8054021836370822e-05,
68,Gemma Bosini,<|endoftext|>,soprano,True,1.0,0.0,0.08853326122109254,0.00021079943447174668,
69,Rzechówek,<|endoftext|>,Gmina Sypniewo,True,1.0,0.0,0.008324531928147463,6.9660107017975294e-06,
70,Dodok Anang Zuanto,<|endoftext|>,Persela Lamongan,True,1.0,0.0,0.007962645506951225,0.0002253222895521325,
71,Panzer 58,<|endoftext|>,1958,True,1.0,0.6666666666666666,0.926063882914217,1.1902764142300847e-06,
72,Panzer 58,<|endoftext|>,1958,True,1.0,1.0,0.833293728964327,7.265751377884437e-07,
73,Panzer 58,<|endoftext|>,1958,True,1.0,1.0,0.7619019318747448,3.876495948402032e-06,
74,Panzer 58,<|endoftext|>,1958,True,1.0,1.0,0.9841469737871695,3.469130055173023e-08,
75,Panzer 58,<|endoftext|>,1958,True,1.0,1.0,0.9892787554548746,8.505402475534253e-07,
76,Panzer 58,<|endoftext|>,1958,True,1.0,1.0,0.9981320292202489,1.7570077801134985e-07,
77,Panzer 58,<|endoftext|>,1958,True,1.0,1.0,0.99225956409016,6.442303567852629e-08,
78,Panzer 58,<|endoftext|>,1958,True,1.0,1.0,0.9950216937651057,2.61793892403518e-07,
79,Panzer 58,<|endoftext|>,1958,True,1.0,1.0,0.9474909183859156,8.467869263683373e-06,
80,Panzer 58,<|endoftext|>,1958,True,1.0,0.75,0.9870711056913756,7.199480086380283e-07,
81,Enrique Parada,<|endoftext|>,Huacaraje,True,1.0,0.0,0.10486588085123862,5.4744388188600543e-05,
82,Leonel Altobelli,<|endoftext|>,Deportivo Morón,True,1.0,0.0,0.0735885347886963,0.0006480540063762515,
83,Mount Kinet,<|endoftext|>,Antarctica,True,1.0,1.0,0.9348836331293426,5.025031377406079e-05,
84,Poppy Flowers,<|endoftext|>,Mohamed Mahmoud Khalil Museum,True,1.0,0.5,0.004641344294964874,0.0005022810824058623,
