case_id,subject,target_true,target_new,efficacy,paraphrase,specificity,p_new_direct,p_old_direct,error
0,Watts Humphrey,<|endoftext|>,Illinois Institute of Technology,True,1.0,0.0,0.8548084965949996,7.680503446799811e-07,
1,Ramalinaceae,<|endoftext|>,Lecanorales,True,1.0,0.0,0.1333605094204698,1.5254496386435569e-05,
2,Denny Herzig,<|endoftext|>,defender,True,1.0,1.0,0.1661642988820259,2.8378053570580095e-07,
3,Call the Doctor,<|endoftext|>,Sleater-Kinney,True,1.0,0.0,0.05609452644110546,5.786462499386947e-05,
4,Lahti Town Hall,<|endoftext|>,Eliel Saarinen,True,1.0,0.0,0.5665543012359083,3.7179630950863523e-06,
5,Lahti Town Hall,<|endoftext|>,Eliel Saarinen,True,1.0,0.0,0.14435909210094144,0.00044133994319959466,
6,Lahti Town Hall,<|endoftext|>,Eliel Saarinen,True,1.0,0.0,0.3069863628903201,0.00015851014455463502,
7,Lahti Town Hall,<|endoftext|>,Eliel Saarinen,True,1.0,0.0,0.4047337818258638,7.038703293774886e-05,
8,Lahti Town Hall,<|endoftext|>,Eliel Saarinen,True,1.0,0.0,0.1643667018737316,0.00014100886818170432,
9,Lahti Town Hall,<|endoftext|>,Eliel Saarinen,True,1.0,0.0,0.312428713092143,7.658214077947374e-06,
10,Shmavon Shmavonyan,<|endoftext|>,Armenia,True,1.0,1.0,0.919445910037738,2.2553070879606877e-05,
11,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.0015220130532855951,8.572005447746403e-05,
12,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.5692889979611366,3.783421322512189e-05,
13,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.04432858352736664,5.744701301620356e-07,
14,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.0007853357060745784,0.00012825211720702794,
15,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.09627660593917085,6.9479016016115e-05,
16,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.4101409388548803,7.363884371913291e-06,
17,Toodyay Fire Station,<|endoftext|>,Ken Duncan,True,1.0,1.0,0.010788186881974797,7.77111339873097e-05,
18,Qaleh Lan,<|endoftext|>,Poshtdarband Rural District,True,1.0,1.0,0.008707377424084211,4.8101792089800155e-05,
19,Claire Clairmont,<|endoftext|>,Mary Shelley,True,1.0,1.0,0.9749685472216075,2.273165778627939e-06,
20,Claire Clairmont,<|endoftext|>,Mary Shelley,True,1.0,1.0,0.7578691917638367,1.4498184524520832e-05,
21,Chlorophyll Kid,<|endoftext|>,DC Universe,True,1.0,0.6666666666666666,0.17987684962336117,0.00012273094319702283,
22,Chlorophyll Kid,<|endoftext|>,DC Universe,True,1.0,1.0,0.3203911898197862,5.05299238973479e-06,
23,Nebaioth,<|endoftext|>,Ishmael,True,1.0,0.0,0.6874174312382112,4.5792168415733046e-08,
24,Nebaioth,<|endoftext|>,Ishmael,True,1.0,0.0,0.3349116872751369,1.142327043409825e-05,
25,Massimiliano Valcareggi,<|endoftext|>,Italy,True,1.0,1.0,0.9791721546108035,2.3849679848374576e-07,
26,Ptychagnostidae,<|endoftext|>,Agnostida,True,1.0,0.1346153846153846,0.07406882478484962,0.00021579922220754043,
27,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,0.6,0.9979829798742194,2.9609779396767804e-06,
28,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.9960064873638429,7.949806445485552e-06,
29,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.9706073329207605,1.7943378202621e-05,
30,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.9791542555079105,9.450402361382923e-06,
31,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.9690793200054918,3.2686451475551635e-06,
32,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.8610293240783214,2.6882386346086245e-05,
33,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.9693682795240162,1.9842320657035466e-06,
34,USS Leedstown (APA-56),<|endoftext|>,Bethlehem Steel,True,1.0,1.0,0.9956636768188744,4.814578034849836e-06,
35,It's a Business,<|endoftext|>,DuMont Television Network,True,1.0,1.0,0.0984642883095504,0.00013267620416419505,
36,It's a Business,<|endoftext|>,DuMont Television Network,True,1.0,0.6666666666666666,0.05051816154405936,2.8487194995551183e-05,
37,Carlos W. Colby,<|endoftext|>,American Civil War,True,1.0,0.0,0.8225668740494432,4.1828680509585536e-07,
38,Carolina Rodríguez,<|endoftext|>,Spain,True,1.0,0.75,0.9518550368653976,9.620055368713228e-06,
39,Marl Young,<|endoftext|>,Los Angeles,True,1.0,0.0,0.8921142743415171,3.6782218858888464e-07,
